,id,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_duration,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Others,property_type_Townhouse or Condo,property_type_nan,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_nan,bed_type_Not real bed,bed_type_Real Bed,bed_type_nan,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_nan
1020,8173825,6179918,2013/5/1,,0.98,0,1,1,1,Central Area,47.57669612,-122.2968805,1,Others,Entire home/apt,2,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",100,25,1,0,2,2,4 months ago,0,0,0,98,0,,,95.18181818,9.818181818,9.818181818,9.818181818,9.727272727,9.363636364,9.545454545,0,flexible,0,0,1,,978 days,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1021,6759104,22758930,2014/10/20,within a few hours,1,0,1,1,1,Central Area,47.59695169,-122.3019871,0,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer""}",69,0,1,0,1,5,2 weeks ago,26,56,85,85,12,2015/9/5,2015/12/26,93,10,10,10,10,9,10,0,flexible,0,0,1,2.95,441 days,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1022,7619060,12194562,2014/2/12,within an hour,1,1,2,2,1,Central Area,47.59515922,-122.3090613,1,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",69,20,1,0,1,1125,today,22,52,82,168,19,2015/8/23,2015/12/21,98,10,10,10,10,10,10,0,strict,0,0,2,4.22,691 days,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1023,7095802,36964583,2015/6/28,within an hour,1,0,2,2,0,Central Area,47.59213628,-122.3000801,1,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer""}",35,20,1,10,1,1125,2 months ago,24,54,84,359,23,2015/7/9,2015/12/28,84,9,8,9,10,8,9,1,moderate,0,0,2,3.83,190 days,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1024,8103432,2405911,2012/5/18,within a day,0.75,0,1,1,1,Central Area,47.59802553,-122.3069675,1,House,Entire home/apt,4,1,3,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",140,50,4,35,2,1125,a week ago,30,60,90,365,1,2015/11/15,2015/11/15,96.08376963,9.769633508,9.638743455,9.827225131,9.832460733,9.471204188,9.584210526,0,strict,0,0,1,0.59,1326 days,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1025,3998922,20732089,2014/8/30,within a day,1,0,1,1,1,Central Area,47.59622687,-122.3029231,1,House,Private room,2,1,1,1,Not real bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",68,0,2,20,2,1125,3 weeks ago,21,51,72,161,17,2014/9/29,2015/10/22,96,10,10,10,10,9,10,0,moderate,0,0,1,1.1,492 days,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1026,8922153,20488068,2014/8/24,within an hour,1,0,2,2,1,Central Area,47.60016616,-122.307816,1,Apartment,Private room,2,1.5,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",55,5,1,0,1,1125,2 months ago,0,0,0,55,0,,,95.46590909,9.715909091,9.613636364,9.818181818,9.875,9.5,9.5,0,flexible,0,0,2,,498 days,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1027,5932882,30802218,2015/4/7,,0.98,0,2,2,1,Central Area,47.58725541,-122.3003847,1,House,Entire home/apt,4,1.5,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100,0,2,20,2,14,2 weeks ago,29,59,88,88,4,2015/6/8,2015/8/11,100,10,10,10,10,10,10,0,flexible,0,0,2,0.57,272 days,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1028,6187340,8206519,2013/8/16,within an hour,1,0,1,1,0,Central Area,47.59370214,-122.3081055,1,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",70,25,0,0,1,1125,2 weeks ago,2,2,3,3,4,2015/11/23,2015/12/30,100,9,10,10,10,10,10,0,flexible,0,0,1,2.79,871 days,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1029,8350401,30802218,2015/4/7,,0.98,0,2,2,1,Central Area,47.58622696,-122.2986161,1,House,Private room,2,1.5,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",90,0,2,40,2,7,2 weeks ago,30,60,90,365,1,2015/9/28,2015/9/28,100,10,10,10,10,10,10,0,flexible,0,0,2,0.3,272 days,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
